METHOD,URI,NAME,ACTION
"GET,_ignition/health-check,ignition.healthCheck,""Facade\Ignition\Http\Controllers\HealthCheckController"""
"POST,_ignition/execute-solution,ignition.executeSolution,""Facade\Ignition\Http\Controllers\ExecuteSolutionController"""
"POST,_ignition/share-report,ignition.shareReport,""Facade\Ignition\Http\Controllers\ShareReportController"""
"GET,_ignition/scripts/{script},ignition.scripts,""Facade\Ignition\Http\Controllers\ScriptController"""
"GET,_ignition/styles/{style},ignition.styles,""Facade\Ignition\Http\Controllers\StyleController"""
"GET,login,login,""Laravel\Fortify\Http\Controllers\AuthenticatedSessionController@create"""
"POST,login,,""Laravel\Fortify\Http\Controllers\AuthenticatedSessionController@store"""
"POST,logout,logout,""Laravel\Fortify\Http\Controllers\AuthenticatedSessionController@destroy"""
"GET,forgot-password,password.request,""Laravel\Fortify\Http\Controllers\PasswordResetLinkController@create"""
"GET,reset-password/{token},password.reset,""Laravel\Fortify\Http\Controllers\NewPasswordController@create"""
"POST,forgot-password,password.email,""Laravel\Fortify\Http\Controllers\PasswordResetLinkController@store"""
"POST,reset-password,password.update,""Laravel\Fortify\Http\Controllers\NewPasswordController@store"""
"GET,register,register,""Laravel\Fortify\Http\Controllers\RegisteredUserController@create"""
"POST,register,,""Laravel\Fortify\Http\Controllers\RegisteredUserController@store"""
GET,email/verify,verification.notice,Closure
"GET,email/verify/{id}/{hash},verification.verify,""Laravel\Fortify\Http\Controllers\VerifyEmailController@__invoke"""
"POST,email/verification-notification,verification.send,""Laravel\Fortify\Http\Controllers\EmailVerificationNotificationController@store"""
"PUT,user/profile-information,user-profile-information.update,""Laravel\Fortify\Http\Controllers\ProfileInformationController@update"""
"PUT,user/password,user-password.update,""Laravel\Fortify\Http\Controllers\PasswordController@update"""
"GET,user/confirm-password,,""Laravel\Fortify\Http\Controllers\ConfirmablePasswordController@show"""
"GET,user/confirmed-password-status,password.confirmation,""Laravel\Fortify\Http\Controllers\ConfirmedPasswordStatusController@show"""
"POST,user/confirm-password,password.confirm,""Laravel\Fortify\Http\Controllers\ConfirmablePasswordController@store"""
"GET,two-factor-challenge,two-factor.login,""Laravel\Fortify\Http\Controllers\TwoFactorAuthenticatedSessionController@create"""
"POST,two-factor-challenge,,""Laravel\Fortify\Http\Controllers\TwoFactorAuthenticatedSessionController@store"""
"POST,user/two-factor-authentication,two-factor.enable,""Laravel\Fortify\Http\Controllers\TwoFactorAuthenticationController@store"""
"POST,user/confirmed-two-factor-authentication,two-factor.confirm,""Laravel\Fortify\Http\Controllers\ConfirmedTwoFactorAuthenticationController@store"""
"DELETE,user/two-factor-authentication,two-factor.disable,""Laravel\Fortify\Http\Controllers\TwoFactorAuthenticationController@destroy"""
"GET,user/two-factor-qr-code,two-factor.qr-code,""Laravel\Fortify\Http\Controllers\TwoFactorQrCodeController@show"""
"GET,user/two-factor-recovery-codes,two-factor.recovery-codes,""Laravel\Fortify\Http\Controllers\RecoveryCodeController@index"""
"POST,user/two-factor-recovery-codes,,""Laravel\Fortify\Http\Controllers\RecoveryCodeController@store"""
"GET,terms-of-service,terms.show,""Laravel\Jetstream\Http\Controllers\Livewire\TermsOfServiceController@show"""
"GET,privacy-policy,policy.show,""Laravel\Jetstream\Http\Controllers\Livewire\PrivacyPolicyController@show"""
"GET,user/profile,profile.show,""Laravel\Jetstream\Http\Controllers\Livewire\UserProfileController@show"""
"GET,sanctum/csrf-cookie,,""Laravel\Sanctum\Http\Controllers\CsrfCookieController@show"""
"POST,livewire/message/{name},livewire.message,""Livewire\Controllers\HttpConnectionHandler"""
"POST,livewire/upload-file,livewire.upload-file,""Livewire\Controllers\FileUploadHandler@handle"""
"GET,livewire/preview-file/{filename},livewire.preview-file,""Livewire\Controllers\FilePreviewHandler@handle"""
"GET,livewire/livewire.js,,""Livewire\Controllers\LivewireJavaScriptAssets@source"""
"GET,livewire/livewire.js.map,,""Livewire\Controllers\LivewireJavaScriptAssets@maps"""
"POST,api/login,,""App\Http\Controllers\AuthController@login"""
"POST,api/register,,""App\Http\Controllers\AuthController@register"""
"GET,api/products,,""App\Http\Controllers\ProductController@index"""
"GET,api/products/{id},,""App\Http\Controllers\ProductController@show"""
"GET,api/products/search/{name},,""App\Http\Controllers\ProductController@search"""
"POST,api/products,,""App\Http\Controllers\ProductController@store"""
"PUT,api/products/{id},,""App\Http\Controllers\ProductController@update"""
"DELETE,api/products/{id},,""App\Http\Controllers\ProductController@destroy"""
"POST,api/logout,,""App\Http\Controllers\AuthController@logout"""
GET,api/user,,Closure
GET,/,,Closure
GET,index,,Closure
"GET,products,,""App\Http\Livewire\Products"""
"GET,transactions,,""App\Http\Livewire\Transactions"""
"GET,restaurantandbar,,""App\Http\Livewire\UserProducts"""
"GET,my-bookings,,""App\Http\Livewire\UserTransactions"""
GET,dashboard,dashboard,Closure
"GET,user/home,,""App\Http\Controllers\HomeController@UservsAdmin"""
"GET,users,,""App\Http\Livewire\Users"""
GET,routes,,Closure
GET,routestocsv,,Closure
"GET,jsonproducts,,""App\Http\Controllers\ProductController@index"""
